code,name_vi,name_en,district,country,zip_code
30549,10279,10279,17119,2,
30550,10280,10280,17119,2,
30551,10282,10282,17119,2,
30552,13651,13651,17120,2,
30553,13113,13113,17121,2,
30554,13348,13348,17122,2,
30555,13076,13076,17123,2,
30556,10950,10950,17124,2,
30557,12726,12726,17125,2,
30558,11720,11720,17126,2,
30559,13469,13469,17127,2,
30560,12140,12140,17128,2,
30561,12514,12514,17129,2,
30562,12859,12859,17130,2,
30563,12161,12161,17131,2,
30564,12470,12470,17132,2,
30565,14769,14769,17133,2,
30566,13464,13464,17134,2,
30567,13810,13810,17135,2,
30568,14865,14865,17136,2,
30569,11373,11373,17137,2,
30570,12777,12777,17138,2,
30571,11509,11509,17139,2,
30572,13082,13082,17140,2,
30573,12545,12545,17141,2,
30574,10701,10701,17142,2,
30575,10703,10703,17142,2,
30576,10704,10704,17142,2,
30577,10705,10705,17142,2,
30578,10710,10710,17142,2,
30579,13666,13666,17143,2,
30580,13403,13403,17144,2,
30581,12430,12430,17145,2,
30582,10901,10901,17146,2,
30583,14441,14441,17147,2,
30584,14086,14086,17148,2,
30585,12749,12749,17149,2,
30586,14560,14560,17150,2,
30587,11937,11937,17151,2,
30588,13684,13684,17152,2,
30589,10543,10543,17153,2,
30590,12885,12885,17154,2,
30591,14589,14589,17155,2,
30592,12839,12839,17156,2,
30593,11717,11717,17157,2,
30594,14424,14424,17158,2,
30595,14057,14057,17159,2,
30596,13352,13352,17160,2,
30597,13314,13314,17161,2,
30598,13364,13364,17162,2,
30599,14033,14033,17163,2,
30600,13101,13101,17164,2,
30601,14480,14480,17165,2,
30602,14785,14785,17166,2,
30603,13473,13473,17167,2,
30604,11414,11414,17168,2,
30605,12008,12008,17169,2,
30606,13163,13163,17170,2,
30607,10598,10598,17171,2,
30608,14781,14781,17172,2,
30609,12973,12973,17173,2,
30610,11426,11426,17174,2,
30611,10983,10983,17175,2,
30612,12936,12936,17176,2,
30613,14109,14109,17177,2,
30614,13743,13743,17178,2,
30615,14760,14760,17179,2,
30616,10953,10953,17180,2,
30617,14774,14774,17181,2,
30618,12472,12472,17182,2,
30619,10548,10548,17183,2,
30620,12527,12527,17184,2,
30621,13325,13325,17185,2,
30622,12422,12422,17186,2,
30623,11960,11960,17187,2,
30624,14783,14783,17188,2,
30625,13041,13041,17189,2,
30626,14456,14456,17190,2,
30627,13622,13622,17191,2,
30628,13864,13864,17192,2,
30629,12187,12187,17193,2,
30630,14548,14548,17194,2,
30631,12932,12932,17195,2,
30632,11050,11050,17196,2,
30633,12965,12965,17197,2,
30634,11763,11763,17198,2,
30635,12736,12736,17199,2,
30636,12574,12574,17200,2,
30637,14557,14557,17201,2,
30638,13796,13796,17202,2,
30639,11576,11576,17203,2,
30640,14814,14814,17204,2,
30641,11764,11764,17205,2,
30642,14823,14823,17206,2,
30643,14847,14847,17207,2,
30644,13744,13744,17208,2,
30645,10976,10976,17209,2,
30646,14842,14842,17210,2,
30647,14478,14478,17211,2,
30648,12428,12428,17212,2,
30649,11565,11565,17213,2,
30650,14772,14772,17214,2,
30651,13647,13647,17215,2,
30652,12459,12459,17216,2,
30653,13475,13475,17217,2,
30654,14517,14517,17218,2,
30655,12828,12828,17219,2,
30656,14168,14168,17220,2,
30657,11953,11953,17221,2,
30658,12754,12754,17222,2,
30659,14515,14515,17223,2,
30660,13490,13490,17224,2,
30661,14871,14871,17225,2,
30662,12740,12740,17226,2,
30663,13812,13812,17227,2,
30664,11947,11947,17228,2,
30665,13346,13346,17229,2,
30666,14059,14059,17230,2,
30667,14519,14519,17231,2,
30668,14898,14898,17232,2,
30669,13318,13318,17233,2,
30670,12920,12920,17234,2,
30671,14048,14048,17235,2,
30672,13678,13678,17236,2,
30673,12503,12503,17237,2,
30674,10591,10591,17238,2,
30675,10965,10965,17239,2,
30676,13842,13842,17240,2,
30677,10964,10964,17241,2,
30678,13072,13072,17242,2,
30679,12972,12972,17243,2,
30680,13780,13780,17244,2,
30681,13406,13406,17245,2,
30682,13747,13747,17246,2,
30683,10512,10512,17247,2,
30684,14069,14069,17248,2,
30685,12962,12962,17249,2,
30686,12786,12786,17250,2,
30687,13493,13493,17251,2,
30688,14054,14054,17252,2,
30689,11795,11795,17253,2,
30690,14120,14120,17254,2,
30691,12725,12725,17255,2,
30692,12496,12496,17256,2,
30693,13850,13850,17257,2,
30694,12410,12410,17258,2,
30695,12961,12961,17259,2,
30696,13111,13111,17260,2,
30697,12865,12865,17261,2,
30698,10604,10604,17262,2,
30699,12053,12053,17263,2,
30700,13332,13332,17264,2,
30701,14733,14733,17265,2,
30702,14428,14428,17266,2,
30703,12939,12939,17267,2,
30704,13145,13145,17268,2,
30705,11566,11566,17269,2,
30706,13639,13639,17270,2,
30707,12804,12804,17271,2,
30708,11803,11803,17272,2,
30709,14740,14740,17273,2,
30710,11975,11975,17274,2,
30711,11040,11040,17275,2,
30712,11042,11042,17275,2,
30713,12722,12722,17276,2,
30714,13665,13665,17277,2,
30715,14550,14550,17278,2,
30716,12741,12741,17279,2,
30717,13460,13460,17280,2,
30718,12928,12928,17281,2,
30719,13407,13407,17282,2,
30720,12585,12585,17283,2,
30721,13135,13135,17284,2,
30722,14066,14066,17285,2,
30723,13112,13112,17286,2,
30724,14568,14568,17287,2,
30725,10980,10980,17288,2,
30726,13303,13303,17289,2,
30727,14005,14005,17290,2,
30728,13108,13108,17291,2,
30729,10507,10507,17292,2,
30730,14138,14138,17293,2,
30731,12177,12177,17294,2,
30732,12901,12901,17295,2,
30733,12903,12903,17295,2,
30734,11782,11782,17296,2,
30735,12998,12998,17297,2,
30736,12022,12022,17298,2,
30737,14502,14502,17299,2,
30738,12747,12747,17300,2,
30739,12474,12474,17301,2,
30740,11952,11952,17302,2,
30741,12582,12582,17303,2,
30742,10998,10998,17304,2,
30743,14561,14561,17305,2,
30744,12465,12465,17306,2,
30745,13471,13471,17307,2,
30746,12464,12464,17308,2,
30747,14860,14860,17309,2,
30748,12760,12760,17310,2,
30749,14880,14880,17311,2,
30750,13060,13060,17312,2,
30751,14872,14872,17313,2,
30752,13901,13901,17314,2,
30753,13902,13902,17314,2,
30754,13903,13903,17314,2,
30755,13904,13904,17314,2,
30756,13905,13905,17314,2,
30757,10974,10974,17315,2,
30758,12196,12196,17316,2,
30759,11413,11413,17317,2,
30760,11972,11972,17318,2,
30761,10535,10535,17319,2,
30762,14510,14510,17320,2,
30763,13305,13305,17321,2,
30764,14132,14132,17322,2,
30765,10708,10708,17323,2,
30766,13740,13740,17324,2,
30767,14850,14850,17325,2,
30768,14853,14853,17325,2,
30769,12914,12914,17326,2,
30770,13680,13680,17327,2,
30771,10940,10940,17328,2,
30772,10941,10941,17328,2,
30773,13321,13321,17329,2,
30774,14585,14585,17330,2,
30775,13777,13777,17331,2,
30776,13804,13804,17332,2,
30777,14726,14726,17333,2,
30778,14082,14082,17334,2,
30779,13483,13483,17335,2,
30780,13326,13326,17336,2,
30781,14427,14427,17337,2,
30782,12517,12517,17338,2,
30783,12025,12025,17339,2,
30784,13630,13630,17340,2,
30785,14083,14083,17341,2,
30786,13340,13340,17342,2,
30787,12853,12853,17343,2,
30788,12149,12149,17344,2,
30789,11558,11558,17345,2,
30790,11378,11378,17346,2,
30791,11939,11939,17347,2,
30792,12443,12443,17348,2,
30793,14414,14414,17349,2,
30794,12776,12776,17350,2,
30795,12791,12791,17351,2,
30796,12108,12108,17352,2,
30797,13790,13790,17353,2,
30798,14041,14041,17354,2,
30799,10958,10958,17355,2,
30800,12864,12864,17356,2,
30801,13860,13860,17357,2,
30802,11703,11703,17358,2,
30803,10523,10523,17359,2,
30804,13339,13339,17360,2,
30805,14422,14422,17361,2,
30806,12461,12461,17362,2,
30807,13335,13335,17363,2,
30808,13363,13363,17364,2,
30809,12842,12842,17365,2,
30810,13033,13033,17366,2,
30811,13730,13730,17367,2,
30812,13428,13428,17368,2,
30813,10975,10975,17369,2,
30814,14836,14836,17370,2,
30815,12748,12748,17371,2,
30816,12176,12176,17372,2,
30817,13687,13687,17373,2,
30818,12450,12450,17374,2,
30819,14481,14481,17375,2,
30820,12533,12533,17376,2,
30821,12117,12117,17377,2,
30822,11930,11930,17378,2,
30823,14511,14511,17379,2,
30824,10527,10527,17380,2,
30825,14479,14479,17381,2,
30826,12992,12992,17382,2,
30827,13788,13788,17383,2,
30828,13044,13044,17384,2,
30829,12771,12771,17385,2,
30830,14454,14454,17386,2,
30831,12121,12121,17387,2,
30832,13028,13028,17388,2,
30833,11563,11563,17389,2,
30834,13115,13115,17390,2,
30835,12976,12976,17391,2,
30836,12041,12041,17392,2,
30837,10923,10923,17393,2,
30838,14724,14724,17394,2,
30839,11762,11762,17395,2,
30840,14716,14716,17396,2,
30841,13081,13081,17397,2,
30842,12052,12052,17398,2,
30843,12406,12406,17399,2,
30844,10963,10963,17400,2,
30845,13697,13697,17401,2,
30846,12824,12824,17402,2,
30847,11721,11721,17403,2,
30848,12943,12943,17404,2,
30849,12137,12137,17405,2,
30850,14004,14004,17406,2,
30851,12854,12854,17407,2,
30852,11804,11804,17408,2,
30853,12471,12471,17409,2,
30854,10583,10583,17410,2,
30855,12833,12833,17411,2,
30856,10542,10542,17412,2,
30857,10532,10532,17413,2,
30858,14466,14466,17414,2,
30859,12934,12934,17415,2,
30860,13620,13620,17416,2,
30861,12886,12886,17417,2,
30862,12912,12912,17418,2,
30863,13042,13042,17419,2,
30864,12834,12834,17420,2,
30865,10519,10519,17421,2,
30866,11780,11780,17422,2,
30867,13752,13752,17423,2,
30868,10928,10928,17424,2,
30869,12966,12966,17425,2,
30870,11557,11557,17426,2,
30871,12139,12139,17427,2,
30872,12743,12743,17428,2,
30873,12836,12836,17429,2,
30874,12996,12996,17430,2,
30875,11956,11956,17431,2,
30876,11753,11753,17432,2,
30877,14092,14092,17433,2,
30878,11957,11957,17434,2,
30879,14805,14805,17435,2,
30880,12132,12132,17436,2,
30881,14731,14731,17437,2,
30882,13856,13856,17438,2,
30883,12106,12106,17439,2,
30884,11003,11003,17440,2,
30885,13621,13621,17441,2,
30886,12074,12074,17442,2,
30887,14445,14445,17443,2,
30888,12820,12820,17444,2,
30889,12063,12063,17445,2,
30890,12414,12414,17446,2,
30891,11561,11561,17447,2,
30892,10926,10926,17448,2,
30893,13424,13424,17449,2,
30894,12821,12821,17450,2,
30895,12442,12442,17451,2,
30896,14037,14037,17452,2,
30897,13334,13334,17453,2,
30898,10979,10979,17454,2,
30899,13486,13486,17455,2,
30900,11935,11935,17456,2,
30901,13315,13315,17457,2,
30902,12819,12819,17458,2,
30903,12190,12190,17459,2,
30904,12544,12544,17460,2,
30905,13020,13020,17461,2,
30906,12950,12950,17462,2,
30907,10992,10992,17463,2,
30908,12874,12874,17464,2,
30909,14739,14739,17465,2,
30910,12116,12116,17466,2,
30911,14047,14047,17467,2,
30912,13649,13649,17468,2,
30913,13353,13353,17469,2,
30914,13160,13160,17470,2,
30915,11792,11792,17471,2,
30916,13734,13734,17472,2,
30917,12738,12738,17473,2,
30918,14571,14571,17474,2,
30919,13803,13803,17475,2,
30920,10707,10707,17476,2,
30921,11569,11569,17477,2,
30922,10546,10546,17478,2,
30923,14732,14732,17479,2,
30924,14416,14416,17480,2,
30925,13786,13786,17481,2,
30926,12525,12525,17482,2,
30927,12733,12733,17483,2,
30928,12454,12454,17484,2,
30929,11418,11418,17485,2,
30930,14712,14712,17486,2,
30931,13739,13739,17487,2,
30932,14463,14463,17488,2,
30933,12993,12993,17489,2,
30934,10962,10962,17490,2,
30935,12563,12563,17491,2,
30936,12051,12051,17492,2,
30937,11784,11784,17493,2,
30938,11756,11756,17494,2,
30939,12929,12929,17495,2,
30940,12580,12580,17496,2,
30941,14425,14425,17497,2,
30942,13650,13650,17498,2,
30943,13439,13439,17499,2,
30944,13367,13367,17500,2,
30945,14009,14009,17501,2,
30946,14816,14816,17502,2,
30947,14029,14029,17503,2,
30948,14839,14839,17504,2,
30949,14544,14544,17505,2,
30950,12036,12036,17506,2,
30951,13157,13157,17507,2,
30952,12441,12441,17508,2,
30953,14870,14870,17509,2,
30954,12419,12419,17510,2,
30955,11694,11694,17511,2,
