code,name_vi,name_en,country,province,zip_code
329,Huyện Minh Hóa,Minh Hoa,1,29,
330,Huyện Tuyên Hóa,Tuyen Hoa,1,29,
331,Huyện Quảng Trạch,Quang Trach,1,29,
332,Huyện Bố Trạch,Bo Trach,1,29,
333,Huyện Quảng Ninh,Quang Ninh,1,29,
334,Huyện Lệ Thủy,Le Thuy,1,29,
335,Thị xã Ba Đồn,Ba Don Town,1,29,
336,Thành phố Đông Hà,Dong Ha City,1,30,
337,Thị xã Quảng Trị,Quang Tri Town,1,30,
338,Huyện Vĩnh Linh,Vinh Linh,1,30,
339,Huyện Hướng Hóa,Huong Hoa,1,30,
340,Huyện Gio Linh,Gio Linh,1,30,
341,Huyện Đa Krông,Da Krong,1,30,
342,Huyện Cam Lộ,Cam Lo,1,30,
343,Huyện Triệu Phong,Trieu Phong,1,30,
344,Huyện Hải Lăng,Hai Lang,1,30,
345,Huyện Cồn Cỏ,Con Co,1,30,
346,Thành phố Huế,Hue City,1,31,
347,Huyện Phong Điền,Phong Dien,1,31,
348,Huyện Quảng Điền,Quang Dien,1,31,
349,Huyện Phú Vang,Phu Vang,1,31,
350,Thị xã Hương Thủy,Huong Thuy Town,1,31,
351,Thị xã Hương Trà,Huong Tra Town,1,31,
352,Huyện A Lưới,A Luoi,1,31,
353,Huyện Phú Lộc,Phu Loc,1,31,
354,Huyện Nam Đông,Nam Dong,1,31,
355,Quận Liên Chiểu,Lien Chieu,1,32,
356,Quận Thanh Khê,Thanh Khe,1,32,
357,Quận Hải Châu,Hai Chau,1,32,
358,Quận Sơn Trà,Son Tra,1,32,
359,Quận Ngũ Hành Sơn,Ngu Hanh Son,1,32,
360,Quận Cẩm Lệ,Cam Le,1,32,
361,Huyện Hòa Vang,Hoa Vang,1,32,
362,Huyện Hoàng Sa,Hoang Sa,1,32,
363,Thành phố Tam Kỳ,Tam Ky City,1,33,
364,Thành phố Hội An,Hoi An City,1,33,
365,Huyện Tây Giang,Tay Giang,1,33,
366,Huyện Đông Giang,Dong Giang,1,33,
367,Huyện Đại Lộc,Dai Loc,1,33,
368,Thị xã Điện Bàn,Dien Ban Town,1,33,
369,Huyện Duy Xuyên,Duy Xuyen,1,33,
370,Huyện Quế Sơn,Que Son,1,33,
371,Huyện Nam Giang,Nam Giang,1,33,
372,Huyện Phước Sơn,Phuoc Son,1,33,
373,Huyện Hiệp Đức,Hiep Duc,1,33,
374,Huyện Thăng Bình,Thang Binh,1,33,
375,Huyện Tiên Phước,Tien Phuoc,1,33,
376,Huyện Bắc Trà My,Bac Tra My,1,33,
377,Huyện Nam Trà My,Nam Tra My,1,33,
378,Huyện Núi Thành,Nui Thanh,1,33,
379,Huyện Phú Ninh,Phu Ninh,1,33,
380,Huyện Nông Sơn,Nong Son,1,33,
381,Thành phố Quảng Ngãi,Quang Ngai City,1,34,
382,Huyện Bình Sơn,Binh Son,1,34,
383,Huyện Trà Bồng,Tra Bong,1,34,
384,Huyện Sơn Tịnh,Son Tinh,1,34,
385,Huyện Tư Nghĩa,Tu Nghia,1,34,
386,Huyện Sơn Hà,Son Ha,1,34,
387,Huyện Sơn Tây,Son Tay,1,34,
388,Huyện Minh Long,Minh Long,1,34,
389,Huyện Nghĩa Hành,Nghia Hanh,1,34,
390,Huyện Mộ Đức,Mo Duc,1,34,
391,Thị xã Đức Phổ,Duc Pho Town,1,34,
392,Huyện Ba Tơ,Ba To,1,34,
393,Huyện Lý Sơn,Ly Son,1,34,
394,Thành phố Quy Nhơn,Quy Nhon City,1,35,
395,Huyện An Lão,An Lao,1,35,
396,Thị xã Hoài Nhơn,Hoai Nhon Town,1,35,
397,Huyện Hoài Ân,Hoai An,1,35,
398,Huyện Phù Mỹ,Phu My,1,35,
